HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459608.8147686,2022-01-29.3105598,bD,1.53,15.295,10.687,0.004,192.809,0.705,g
2459608.8160468,2022-01-29.3118381,bD,1.53,15.289,10.679,0.004,194.362,0.708,g
2459608.8173183,2022-01-29.3131096,bD,1.51,15.289,10.671,0.004,195.623,0.709,g
2459609.7803561,2022-01-30.2762146,bt,1.51,15.079,10.660,0.005,197.656,0.876,g
2459609.7815872,2022-01-30.2774458,bt,1.48,15.063,10.630,0.005,203.266,0.928,g
2459609.7828321,2022-01-30.2786908,bt,1.53,15.058,10.626,0.005,203.919,0.965,g
2459610.7936050,2022-01-31.2895351,bt,1.53,15.030,10.643,0.005,200.857,0.985,g
2459610.7948399,2022-01-31.2907702,bt,1.56,15.019,10.625,0.005,204.201,0.978,g
2459610.7960758,2022-01-31.2920061,bt,1.56,15.020,10.633,0.006,202.510,1.029,g
2459611.7401114,2022-02-01.2361093,bt,1.62,13.724,10.650,0.016,199.478,2.830,g
2459611.7413497,2022-02-01.2373478,bt,1.64,13.887,10.672,0.017,195.444,3.103,g
2459611.7425738,2022-02-01.2385719,bt,1.63,99.990,99.990,99.990,99.990,99.990,g
2459612.6908247,2022-02-02.1868917,bl,1.44,14.857,10.663,0.007,197.190,1.132,g
2459612.6920619,2022-02-02.1881289,bl,1.46,14.830,10.617,0.006,205.648,1.140,g
2459612.6933037,2022-02-02.1893709,bl,1.47,14.840,10.650,0.007,199.607,1.184,g
2459614.8451929,2022-02-04.3414194,bD,1.5,15.273,10.652,0.004,199.257,0.763,g
2459614.8464427,2022-02-04.3426694,bD,1.54,15.277,10.659,0.004,197.989,0.712,g
2459614.8477044,2022-02-04.3439312,bD,1.48,15.275,10.656,0.004,198.395,0.747,g
2459617.3962107,2022-02-06.8926318,bp,1.47,14.966,10.646,0.005,200.327,0.996,g
2459617.3974523,2022-02-06.8938735,bp,1.48,14.967,10.653,0.005,199.133,0.975,g
2459617.3986818,2022-02-06.8951030,bp,1.5,14.963,10.638,0.005,201.816,0.998,g
2459619.7928249,2022-02-09.2894337,bD,1.47,15.268,10.658,0.004,198.244,0.740,g
2459619.7941029,2022-02-09.2907118,bD,1.48,15.275,10.663,0.004,197.101,0.754,g
2459619.7953661,2022-02-09.2919751,bD,1.46,15.267,10.653,0.004,199.058,0.738,g
2459620.6522361,2022-02-10.1489134,bl,1.49,14.858,10.645,0.006,200.439,1.145,g
2459620.6534719,2022-02-10.1501493,bl,1.49,14.860,10.645,0.006,200.344,1.116,g
2459620.6547018,2022-02-10.1513793,bl,1.42,14.855,10.654,0.007,198.806,1.145,g
2459620.6749531,2022-02-10.1716323,bl,1.53,14.812,10.626,0.007,204.077,1.305,g
2459620.6761923,2022-02-10.1728716,bl,1.49,14.811,10.608,0.007,207.502,1.279,g
2459620.6774214,2022-02-10.1741008,bl,1.49,14.823,10.659,0.007,197.839,1.223,g
2459621.7065927,2022-02-11.2033547,bt,1.57,15.138,10.615,0.005,206.133,0.993,g
2459621.7078412,2022-02-11.2046034,bt,1.47,15.124,10.591,0.005,210.677,0.976,g
